n_estimators,max_depth,score
42,4,0.7659478824443716
45,5,0.7898069987897255
48,6,0.8062814207033031
51,7,0.8086185489335805
54,8,0.7893340626318374
57,9,0.7514708683289144
60,10,0.7190494510127878
63,11,0.6578929245485298
66,12,0.6537617846710436
69,13,0.6307024827223027
72,14,0.6256404775146718
76,1,0.4194751151515289
79,2,0.6596589147068862
82,3,0.7467062696054559
85,4,0.7946891137110864
88,5,0.806919218256697
91,6,0.8169197578300122
94,7,0.8119490617959013
97,8,0.7905762432177429
100,9,0.7495211269145241
103,10,0.7154611133782778
106,11,0.6577646038844983
109,12,0.6539158857750949
112,13,0.63265858140414
115,14,0.625991585326442
119,1,0.4749503978045398
122,2,0.6972028146593054
125,3,0.76663030513216
128,4,0.8048241502012426
131,5,0.813762891024589
134,6,0.8139942440145816
137,7,0.8113172985447581
140,8,0.7892105997221547
143,9,0.750726614096997
146,10,0.7115920712413399
149,11,0.6586476914906567
7,12,0.5627419696257723
10,13,0.6227988407071716
13,14,0.6388108874037199
17,1,0.2155239876658797
20,2,0.43497487791189393
23,3,0.607351931013466
26,4,0.7259095036642431
29,5,0.7732618374374258
32,6,0.7949159467298571
35,7,0.8023853105289881
38,8,0.785002030108936
41,9,0.7457539964221084
44,10,0.7147680720921477
47,11,0.662565476711962
50,12,0.651334393575199
53,13,0.6267994213638495
56,14,0.6360619641216009
60,1,0.3888124007219552
63,2,0.629054942470952
66,3,0.7327038029931656
69,4,0.78733100685917
72,5,0.8041629736674893
75,6,0.8121818567125187
78,7,0.8077227547718899
81,8,0.7872071989384063
84,9,0.7518343483856424
87,10,0.7145927725297683
90,11,0.6655095514203015
93,12,0.6547639516802447
96,13,0.6260769858404982
99,14,0.630977012965118
103,1,0.4587573251161648
106,2,0.6860725445877282
109,3,0.7605108163679312
112,4,0.801944083592486
115,5,0.8121923317880118
118,6,0.8132332440272689
121,7,0.8110979024149232
124,8,0.7888731493402354
127,9,0.7488318159784124
130,10,0.7183297068890813
133,11,0.6577350855025927
136,12,0.6552866866455926
139,13,0.6286162055554892
142,14,0.6343203587848465
146,1,0.4966483406338448
149,2,0.7140977501842788
7,3,0.3506836026472088
10,4,0.5218980418496324
13,5,0.6588311550900433
16,6,0.7234860819709678
19,7,0.7614344938296209
22,8,0.7600558305509794
25,9,0.7397747923069736
28,10,0.7201606003647641
31,11,0.6659486781690538
34,12,0.6591691481121029
37,13,0.6331530441654241
40,14,0.6319901819940472
44,1,0.34923938752431893
47,2,0.5881469494587457
50,3,0.7156842212895169
53,4,0.7766641724510994
56,5,0.800406822302036
59,6,0.8090584390025667
62,7,0.8092873844865881
65,8,0.7884789986159303
68,9,0.7519991452089425
71,10,0.714827343609583
74,11,0.6552964099631908
77,12,0.654589302921023
80,13,0.6311975831411661
83,14,0.6318133947530956
87,1,0.4382784168871045
90,2,0.670796180077329
93,3,0.7526661481874464
96,4,0.8009181359171441
99,5,0.8096077586679067
102,6,0.8152318068719225
105,7,0.8099256399636277
108,8,0.7811093165757612
111,9,0.7516415317313244
114,10,0.7169652360184054
117,11,0.6631805280304399
120,12,0.6534572807074199
123,13,0.6334164096230657
126,14,0.6231943153448865
130,1,0.4851514106367446
133,2,0.7046973496119138
136,3,0.7694157798914993
139,4,0.8089013804686113
142,5,0.8118618018168489
145,6,0.8138584203567683
148,7,0.8158263797716566
6,8,0.5378690169156899
9,9,0.6364757365383751
12,10,0.6764158608682558
15,11,0.6589156948367716
18,12,0.6685632188380018
21,13,0.6519529034528582
24,14,0.6453531792878998
28,1,0.28718994279500254
31,2,0.5172182214890096
34,3,0.671106836878744
37,4,0.756995203814511
40,5,0.7865065832022468
43,6,0.8040216861297889
46,7,0.8008826472984951
49,8,0.7909498710364903
52,9,0.7488030888195524
55,10,0.7147612996631669
58,11,0.6646747631414472
61,12,0.649074068646867
64,13,0.6276185379901927
67,14,0.6283524308920101
71,1,0.41258885731846096
74,2,0.6499160206529162
77,3,0.7421904012798454
80,4,0.7944393923483546
83,5,0.8064410279155905
86,6,0.8143806182903293
89,7,0.811323504343558
92,8,0.7875271583273431
95,9,0.7489976821751042
98,10,0.7186240217860592
101,11,0.65608298969056
104,12,0.6627242037390756
107,13,0.6341386997772234
110,14,0.6326827331818539
114,1,0.4690466404952886
117,2,0.6937333611842418
120,3,0.7646552206380248
123,4,0.8074227597628575
126,5,0.8112832629880671
129,6,0.8133397054476712
132,7,0.8084992845927436
135,8,0.7867605842349179
138,9,0.7509920559772607
141,10,0.7152547761421558
144,11,0.6602970086381933
147,12,0.6519194447885477
5,13,0.4836062509822514
8,14,0.5830462971273003
12,1,0.16964529885101962
15,2,0.38212294490666776
18,3,0.5611058620271752
21,4,0.6933822293759964
24,5,0.7609074496503896
27,6,0.7865004835554902
30,7,0.7921212808542705
33,8,0.7802220939155886
36,9,0.7476611395336341
39,10,0.7112219118896206
42,11,0.6624789041673826
45,12,0.6607151685227912
48,13,0.6334065982509993
51,14,0.6347411294017148
55,1,0.3759161323225131
58,2,0.6210935235027292
61,3,0.7278812607512093
64,4,0.784637221064736
67,5,0.8049552693262543
70,6,0.8105044047092347
73,7,0.8094941020489408
76,8,0.7867913284021422
79,9,0.7520775557700956
82,10,0.7163843988396597
85,11,0.6613145680715151
88,12,0.657633017764101
91,13,0.6236405271852479
94,14,0.6263828420176959
98,1,0.45246928382321294
101,2,0.6805980335247028
104,3,0.7584295162830517
107,4,0.8041885441097737
110,5,0.8127281059642792
113,6,0.8156311946314682
116,7,0.8091814711075578
119,8,0.7905643565753527
122,9,0.7500029933545
125,10,0.716441680106477
128,11,0.6587909699452478
131,12,0.6566946174812812
134,13,0.6289383956109332
137,14,0.6370818181748779
141,1,0.49412358377889937
144,2,0.7110604501582332
147,3,0.771996965298757
5,4,0.3583534421236657
8,5,0.5377895437990111
11,6,0.6527989108746451
14,7,0.7215862623284304
17,8,0.7399953652634716
20,9,0.7343117773955691
23,10,0.7161995750060973
26,11,0.6732512363189898
29,12,0.6661772561400936
32,13,0.6392491441114181
35,14,0.6271353115143178
39,1,0.3286085644177744
42,2,0.5706306664134908
45,3,0.7056076936775768
48,4,0.7723967181991046
51,5,0.7963767480967278
54,6,0.8088918302633358
57,7,0.8090182101576635
60,8,0.7838800389343251
63,9,0.7512442219549423
66,10,0.7177841340472003
69,11,0.662008020156474
72,12,0.6594831835754081
75,13,0.6263506583153563
78,14,0.6250285789006538
82,1,0.42813353580268165
85,2,0.665574073218133
88,3,0.7500076601004224
91,4,0.7952434322508465
94,5,0.806776571077469
97,6,0.8096531424199593
100,7,0.8123655532524633
103,8,0.792249577499038
106,9,0.7517565015232214
109,10,0.717850876501506
112,11,0.6621697186101865
115,12,0.6568173022479762
118,13,0.6230866185510038
121,14,0.6333219046219993
125,1,0.48045715718262216
128,2,0.7010240164748891
131,3,0.7673179817515429
134,4,0.8074432687293659
137,5,0.815115341718655
140,6,0.8154029057862443
143,7,0.8094700949458866
146,8,0.7868971432848768
149,9,0.74999241981306
7,10,0.5812917752329347
10,11,0.6316032743274604
13,12,0.6549795687172731
16,13,0.6578213755373686
19,14,0.645411786274164
23,1,0.25851643459471224
26,2,0.48300925588333354
29,3,0.6455768130337659
32,4,0.7458543249417421
35,5,0.7835573302358395
38,6,0.8069360739675806
41,7,0.8054868119488854
44,8,0.7927767730135822
47,9,0.7503034514605775
50,10,0.7175871995934611
53,11,0.6539993467330995
56,12,0.657433019607799
59,13,0.6314769148088757
62,14,0.6307632011713542
66,1,0.4009475702177826
69,2,0.6404837354438377
72,3,0.7386516781815446
75,4,0.7890934896547775
78,5,0.8058110857139701
81,6,0.8108312423768287
84,7,0.8127065306812233
87,8,0.7926788569257449
90,9,0.7498945534630018
93,10,0.7153460186937437
96,11,0.6575546564284054
99,12,0.657062208079981
102,13,0.6260444524137413
105,14,0.6368552335529283
109,1,0.4653272570981851
112,2,0.6907929437518623
115,3,0.7630186195793632
118,4,0.8072548211065664
121,5,0.812536329699686
124,6,0.8168817730917172
127,7,0.809051360682611
130,8,0.790670277653257
133,9,0.7510458104866595
136,10,0.7168109305189106
139,11,0.660680756272898
142,12,0.6616998973145087
145,13,0.6287244799269636
148,14,0.628571715129185
7,1,0.11098951597590559
10,2,0.29809600699783795
13,3,0.49515875883864224
16,4,0.6388911300603962
19,5,0.7304091495679247
22,6,0.7649080874312066
25,7,0.780775079016848
28,8,0.7738996051214244
31,9,0.743808411160506
34,10,0.7103340999599437
37,11,0.6628433176035302
40,12,0.6629217163811374
43,13,0.6389412997870758
46,14,0.6327257995858369
50,1,0.363371056614509
53,2,0.6075602212022366
56,3,0.7229471795508593
59,4,0.780617255046308
62,5,0.8013316755515865
65,6,0.8117344072293299
68,7,0.8088737378936911
71,8,0.7868818918630454
74,9,0.7494822493819636
77,10,0.7131659657233311
80,11,0.6591734155476027
83,12,0.6562213449635845
86,13,0.6284169627682815
89,14,0.6297996902513086
93,1,0.4459307884285314
96,2,0.6755051767473028
99,3,0.7562994356744892
102,4,0.7998835066243186
105,5,0.8079142826744605
108,6,0.8154312903057856
111,7,0.809309214339949
114,8,0.7876050426738618
117,9,0.7493433808513966
120,10,0.7207473351953324
123,11,0.6586903323616013
126,12,0.6531595303098114
129,13,0.6351066660111455
132,14,0.6300398927480326
136,1,0.48932849307876813
139,2,0.7081793961267784
142,3,0.771611108152415
145,4,0.8083281654249256
148,5,0.8157309634259325
6,6,0.49274279100069285
9,7,0.6336586468796166
12,8,0.6860879040243104
15,9,0.7115298658681609
18,10,0.7101307895529128
21,11,0.6743580668443094
24,12,0.6691795074837166
27,13,0.6449649877344914
30,14,0.6375142428167391
34,1,0.3127039771847224
37,2,0.548975428601826
40,3,0.690069910968411
43,4,0.7670727712447413
46,5,0.7941505881976598
49,6,0.8082400169468049
52,7,0.8079088168340279
55,8,0.788825225968306
58,9,0.7530954813996154
61,10,0.714344444045349
64,11,0.6645008928729998
67,12,0.6541443675323493
70,13,0.6233361214365497
73,14,0.6203462972031768
77,1,0.42204195034084346
80,2,0.6606987139131393
83,3,0.7477587566151404
86,4,0.7949987445255124
89,5,0.8072440980727241
92,6,0.8148601093124443
95,7,0.808783764348595
98,8,0.7896003379674694
104,10,0.7138511009713284
107,11,0.6659088369832861
110,12,0.6609254930930386
113,13,0.6275915968033186
116,14,0.6333510904274875
120,1,0.4759271662855784
123,2,0.6983951475747303
126,3,0.7656440428644018
129,4,0.8050315714478363
132,5,0.81476142209716
135,6,0.8132793405285181
138,7,0.8101705910949296
141,8,0.7883607409923591
144,9,0.7526775579450353
147,10,0.7202275340651721
5,11,0.48423449066475355
8,12,0.5921467318125849
11,13,0.6221210893784215
14,14,0.6475033055467548
18,1,0.2224351336118674
21,2,0.4402033442233838
24,3,0.6137285356068071
27,4,0.7302550868592134
30,5,0.7766186500957118
33,6,0.7962342429785668
36,7,0.795653799651998
39,8,0.7811228972157459
42,9,0.7529231072399858
45,10,0.7139962835088169
48,11,0.6633322258878547
51,12,0.6604045155460884
54,13,0.6387230457759427
57,14,0.6233670553059483
61,1,0.3915089512811363
64,2,0.6299623442666575
67,3,0.7339763680899702
70,4,0.7883506205663131
73,5,0.8045411299128913
76,6,0.8127859147958936
79,7,0.8122953306864457
82,8,0.7849668673844589
85,9,0.7497782646167592
88,10,0.7168095946116779
91,11,0.6614507066032456
94,12,0.6516734714308341
97,13,0.6292510733392461
100,14,0.6294828049684358
104,1,0.4597639212811112
107,2,0.6874761011353353
110,3,0.7612054544383051
